,libellefrancais,domanialite,circonferenceencm,hauteurenm,espece,latitude,longitude,stadedeveloppement_A,stadedeveloppement_J,stadedeveloppement_JA,stadedeveloppement_M
0,Platane,Alignement,35.0,5.0,x hispanica,48.8966273942,2.39279835434,0,1,0,0
2,Erable,Alignement,35.0,4.0,campestre,48.8997481873,2.38110864573,0,1,0,0
7,Marronnier,Alignement,75.0,10.0,x carnea,48.8963412635,2.3783694615,0,0,1,0
10,Erable,Alignement,120.0,10.0,pseudoplatanus,48.8905926639,2.39900259689,1,0,0,0
11,Fevier,Alignement,35.0,5.0,triacanthos f. Inermis,48.8984559426,2.37093454668,0,1,0,0
12,Platane,Alignement,190.0,20.0,x hispanica,48.9015630435,2.38655184724,0,0,0,1
13,Sophora,Alignement,40.0,5.0,japonica,48.875522231,2.39629741677,0,1,0,0
14,Platane,DASCO,110.0,11.0,x hispanica,48.8760044998,2.37770789131,1,0,0,0
15,Micocoulier,Alignement,145.0,20.0,australis,48.8922227868,2.38512524892,1,0,0,0
16,Peuplier,Alignement,115.0,25.0,x canadensis,48.8861220507,2.37640659054,1,0,0,0
17,Pin,Jardin,35.0,2.0,pinea,48.8900470793,2.397605939139999,0,1,0,0
19,Robinier,Alignement,140.0,15.0,pseudoacacia,48.8794620795,2.37739833073,1,0,0,0
21,Erable,Alignement,40.0,5.0,monspessulanum,48.885631946299995,2.365935677939999,0,1,0,0
24,Platane,Alignement,165.0,20.0,x hispanica,48.8796359989,2.38974113163,1,0,0,0
26,Platane,Alignement,30.0,5.0,x hispanica,48.884691625799995,2.3919342165199993,0,1,0,0
28,Tulipier,Alignement,45.0,10.0,tulipifera,48.8874334151,2.3936639781,0,1,0,0
29,Platane,Alignement,150.0,15.0,x hispanica,48.8868987853,2.39799839978,1,0,0,0
30,Alisier,Alignement,45.0,5.0,intermedia,48.8848220998,2.38144939474,0,1,0,0
31,Platane,Alignement,20.0,5.0,x hispanica,48.8829053887,2.38876285216,0,1,0,0
33,Sophora,Alignement,140.0,15.0,japonica,48.8727186844,2.37647947816,1,0,0,0
34,Platane,Alignement,255.0,20.0,orientalis,48.87640435669999,2.37511221167,1,0,0,0
35,Marronnier,Jardin,110.0,10.0,hippocastanum,48.873079387,2.376839858759999,1,0,0,0
38,Erable,Alignement,90.0,12.0,cappadocicum,48.8832058578,2.37037994092,1,0,0,0
39,Cerisier à fleurs,DJS,35.0,6.0,x yedoensis,48.893920748,2.3961273319,0,1,0,0
41,Sophora,Alignement,135.0,15.0,japonica,48.8901327701,2.37614213423,1,0,0,0
43,Platane,Alignement,200.0,20.0,x hispanica,48.8826792286,2.37707975506,0,0,0,1
46,Micocoulier,PERIPHERIQUE,69.0,7.0,australis,48.8870959968,2.39652434877,0,1,0,0
47,Platane,Alignement,5.0,5.0,x hispanica,48.8857598158,2.39359389835,0,0,1,0
48,Fevier,Jardin,75.0,15.0,triacanthos f. Inermis,48.8879119377,2.3944232351,0,0,1,0
50,Platane,Alignement,60.0,5.0,orientalis,48.8861879502,2.39610152942,0,1,0,0
53,Marronnier,DASCO,165.0,12.0,hippocastanum,48.8797569822,2.37399295158,1,0,0,0
56,Marronnier,Alignement,45.0,5.0,x carnea,48.87861827969999,2.4008703801599998,0,1,0,0
58,Copalme,Alignement,70.0,10.0,styraciflua,48.885620745299995,2.39003895833,0,0,1,0
59,Fevier,Alignement,85.0,10.0,triacanthos f. Inermis,48.8851813088,2.39221600182,0,0,1,0
64,Marronnier,Alignement,160.0,15.0,hippocastanum,48.8805992883,2.37395045583,1,0,0,0
65,Peuplier,Alignement,85.0,15.0,nigra,48.8832191566,2.369596759159999,1,0,0,0
66,Poirier à fleurs,Alignement,30.0,5.0,calleryana,48.8788497464,2.3949545819,0,0,1,0
67,Platane,Alignement,90.0,20.0,x hispanica,48.8784872519,2.37546148746,0,0,1,0
70,Pin,DASCO,90.0,9.0,nigra subsp. nigra,48.89004502739999,2.37393562412,0,0,1,0
71,Erable,DJS,185.0,15.0,platanoides,48.8854018285,2.39873981896,1,0,0,0
72,Micocoulier,Alignement,75.0,10.0,australis,48.892901994,2.379635504799999,1,0,0,0
74,Platane,Alignement,35.0,5.0,x hispanica,48.8987565164,2.3792827578,0,1,0,0
75,Platane,DASCO,120.0,15.0,x hispanica,48.8825149104,2.37682185819,1,0,0,0
77,Platane,Alignement,80.0,15.0,orientalis,48.8780351325,2.3740721553,1,0,0,0
79,Platane,Alignement,120.0,16.0,x hispanica,48.8988622323,2.37044794188,1,0,0,0
81,Micocoulier,Alignement,75.0,7.0,australis,48.89279889569999,2.37950177779,0,0,1,0
82,Robinier,Alignement,115.0,15.0,pseudoacacia,48.892855350299996,2.3782144102,1,0,0,0
83,Erable,Alignement,50.0,5.0,platanoides,48.8906433544,2.37584080433,0,1,0,0
84,Sophora,Alignement,160.0,15.0,japonica,48.8942428486,2.39457266585,1,0,0,0
86,Pin,DASCO,80.0,10.0,nigra subsp. nigra,48.8943372098,2.37573871858,0,0,1,0
87,Chêne,Alignement,70.0,10.0,ilex,48.8839508028,2.39494054615,1,0,0,0
90,Marronnier,Alignement,125.0,10.0,hippocastanum,48.8949865537,2.37206114801,1,0,0,0
91,Poirier à fleurs,PERIPHERIQUE,15.0,3.0,calleryana,48.9000433446,2.3725090164,0,1,0,0
92,Frêne,PERIPHERIQUE,35.0,4.0,excelsior,48.879492425799995,2.40680453549,0,1,0,0
93,Tilleul,Alignement,60.0,10.0,x europaea,48.8833215508,2.37019934777,0,0,1,0
95,Sophora,Alignement,105.0,20.0,japonica,48.8791815828,2.40077506686,1,0,0,0
96,Arbre de Judée,Jardin,50.0,5.0,siliquastrum,48.9000944322,2.388856458419999,1,0,0,0
99,Micocoulier,Alignement,100.0,10.0,australis,48.8920948009,2.37871613149,1,0,0,0
100,Marronnier,DASCO,85.0,10.0,hippocastanum,48.88632918399999,2.3792884568,0,0,1,0
101,Chicot du Canada,Alignement,60.0,10.0,dioica,48.8839505413,2.383799662839999,0,0,1,0
104,Peuplier,Alignement,195.0,20.0,x canadensis,48.8867401433,2.374829509519999,0,0,0,1
106,Micocoulier,Alignement,170.0,20.0,australis,48.892765780599994,2.37015791183,1,0,0,0
108,Platane,Alignement,45.0,10.0,orientalis,48.8740801893,2.38395910961,0,1,0,0
109,Platane,Alignement,255.0,30.0,x hispanica,48.8834324928,2.37088546693,0,0,0,1
111,Erable,Alignement,60.0,5.0,pseudoplatanus,48.8834127475,2.38592878687,0,0,1,0
112,Noisetier de Byzance,Alignement,70.0,10.0,colurna,48.8795939134,2.3993908838199998,0,0,1,0
113,Bouleau,Alignement,30.0,4.0,pubescens,48.9007001478,2.38129349681,0,1,0,0
114,Platane,Alignement,25.0,5.0,x hispanica,48.8780035868,2.37048466434,0,1,0,0
115,Tilleul,Alignement,65.0,10.0,x europaea,48.8846485305,2.37297599809,0,0,1,0
116,Platane,Alignement,175.0,20.0,x hispanica,48.9014377677,2.38720326277,1,0,0,0
117,Arbre de Judée,DASCO,60.0,5.0,siliquastrum,48.891376122,2.37528220246,0,1,0,0
118,Platane,Alignement,130.0,15.0,x hispanica,48.8998378339,2.371238497789999,1,0,0,0
122,Marronnier,Alignement,180.0,15.0,hippocastanum,48.89492247209999,2.37212189298,0,0,0,1
124,Marronnier,Alignement,60.0,10.0,x carnea,48.885620513,2.3863169579,0,0,1,0
125,Tilleul,Alignement,30.0,5.0,x europaea,48.874143085899995,2.37756783318,0,1,0,0
128,Peuplier,Alignement,110.0,20.0,x canadensis,48.88654172719999,2.37691572482,1,0,0,0
130,Sophora,Alignement,35.0,5.0,japonica,48.889087223,2.39601293014,0,1,0,0
132,Platane,DASCO,120.0,12.0,x hispanica,48.8760376213,2.37751051992,1,0,0,0
133,Platane,DASCO,65.0,8.0,x hispanica,48.87828424399999,2.3867950262,0,1,0,0
136,Platane,Alignement,160.0,25.0,x hispanica,48.8889441009,2.38126744681,1,0,0,0
137,Platane,Alignement,200.0,20.0,x hispanica,48.8988278438,2.371660629399999,1,0,0,0
138,Peuplier,Alignement,130.0,15.0,x canadensis,48.8880609625,2.37762094726,1,0,0,0
140,Pin,Alignement,20.0,5.0,sylvestris,48.8894894449,2.38787187249,0,1,0,0
141,Platane,Alignement,280.0,25.0,orientalis,48.87910056409999,2.37428258532,0,0,0,1
142,Platane,Alignement,245.0,27.0,x hispanica,48.89018320299999,2.39880717121,0,0,0,1
147,Marronnier,Alignement,105.0,15.0,hippocastanum,48.8860306251,2.38973087108,1,0,0,0
149,Platane,Alignement,210.0,30.0,x hispanica,48.8878264806,2.39503454473,0,0,0,1
150,Tilleul,Alignement,105.0,15.0,tomentosa,48.8855872827,2.37012315208,1,0,0,0
151,Marronnier,Alignement,120.0,15.0,hippocastanum,48.885802883699995,2.38814031323,1,0,0,0
154,Prunier à fleurs,DFPE,130.0,10.0,cerasifera,48.883375901399994,2.38977016339,1,0,0,0
155,Bouleau,DJS,70.0,10.0,pubescens,48.8907086813,2.39705371234,0,0,1,0
156,Peuplier,Alignement,135.0,20.0,x canadensis,48.8855059968,2.37234508744,1,0,0,0
157,Sophora,Alignement,95.0,10.0,japonica,48.8766478006,2.40423231129,1,0,0,0
158,Sophora,Alignement,130.0,20.0,japonica,48.8846722563,2.39871379672,1,0,0,0
159,Pin,DJS,55.0,5.0,nigra subsp. nigra,48.8922930642,2.39794010797,0,0,1,0
161,Platane,Alignement,20.0,5.0,x hispanica,48.8987152855,2.37728756417,0,1,0,0
162,Platane,Alignement,105.0,15.0,x hispanica,48.8878698274,2.38993141511,1,0,0,0
163,Merisier,Jardin,55.0,6.0,avium,48.899994466,2.38090888351,0,1,0,0
165,Tulipier,Alignement,95.0,15.0,tulipifera,48.8848258533,2.3738735422399992,1,0,0,0
167,Charme,Alignement,60.0,10.0,betulus,48.8796027658,2.38617481743,0,0,1,0
168,Erable,Alignement,90.0,10.0,platanoides,48.898492430999994,2.3816693884699998,1,0,0,0
169,Noisetier de Byzance,Alignement,50.0,10.0,colurna,48.8780172219,2.38790176275,0,0,1,0
170,Poirier à fleurs,PERIPHERIQUE,50.0,5.0,calleryana,48.9000119642,2.372009082909999,0,1,0,0
172,Marronnier,Alignement,130.0,10.0,x carnea,48.89625483799999,2.37770601025,1,0,0,0
173,Erable,Alignement,115.0,15.0,pseudoplatanus,48.8777967969,2.40686096221,1,0,0,0
174,Platane,Alignement,35.0,5.0,x hispanica,48.8986993397,2.37653545148,0,1,0,0
175,Marronnier,Alignement,70.0,5.0,x carnea,48.8957306603,2.37914029241,0,0,1,0
178,Platane,Alignement,120.0,25.0,x hispanica,48.8785056024,2.37459232166,1,0,0,0
181,Palmier,Alignement,50.0,5.0,fortunei,48.89500854239999,2.37464602821,0,0,1,0
182,Tulipier,Alignement,70.0,10.0,tulipifera,48.8850501016,2.374324539849999,0,0,1,0
185,Platane,Alignement,160.0,25.0,x hispanica,48.884919011,2.3986740467,1,0,0,0
186,Tilleul,Alignement,85.0,15.0,x europaea,48.8887658314,2.3786178794,1,0,0,0
188,Cerisier à fleurs,DASCO,55.0,5.0,serrulata,48.8868706261,2.38840482001,0,1,0,0
189,Robinier,Alignement,135.0,15.0,pseudoacacia,48.8936361978,2.37612139088,1,0,0,0
192,Charme,Alignement,60.0,10.0,betulus,48.8789354833,2.39571563785,0,0,1,0
193,Robinier,Alignement,115.0,15.0,pseudoacacia,48.8928933202,2.37813832973,1,0,0,0
194,Frêne à fleurs,Alignement,30.0,4.0,ornus,48.8957282667,2.38425407496,0,1,0,0
200,Marronnier,Alignement,60.0,8.0,x carnea,48.8783093816,2.37818934421,0,0,1,0
201,Marronnier,Alignement,140.0,15.0,hippocastanum,48.8782977369,2.39114063623,1,0,0,0
204,Platane,Alignement,35.0,5.0,x hispanica,48.8902778699,2.39671061673,0,1,0,0
205,Troene,Alignement,40.0,5.0,lucidum,48.8854281357,2.37188597384,0,1,0,0
206,Tilleul,Alignement,50.0,10.0,cordata,48.8765996683,2.39466479644,0,0,1,0
208,Platane,Alignement,115.0,20.0,x hispanica,48.8818788697,2.39320206,1,0,0,0
218,Micocoulier,Alignement,25.0,5.0,australis,48.8901918218,2.39525378854,0,1,0,0
219,Cerisier à fleurs,Alignement,35.0,5.0,serrulata,48.8986218149,2.377196692189999,0,1,0,0
220,Marronnier,DASCO,190.0,18.0,hippocastanum,48.87616309839999,2.37794173506,1,0,0,0
221,Platane,Alignement,135.0,20.0,x hispanica,48.8892679782,2.38191957747,1,0,0,0
222,Sophora,Alignement,145.0,20.0,japonica,48.8908771421,2.368767329619999,0,0,0,1
225,Platane,DJS,35.0,5.0,x hispanica,48.885525267199995,2.37658095225,0,1,0,0
231,Sophora,Alignement,50.0,5.0,japonica,48.8740628441,2.3749868684399997,0,1,0,0
232,Platane,Alignement,220.0,20.0,x hispanica,48.8773977327,2.40699248677,1,0,0,0
235,Platane,PERIPHERIQUE,105.0,10.0,x hispanica,48.8921412052,2.39596678308,1,0,0,0
238,Merisier,Alignement,90.0,5.0,avium,48.8890617318,2.39350692094,0,0,1,0
240,Poirier à fleurs,Alignement,50.0,10.0,calleryana,48.8813754481,2.372767113009999,0,0,1,0
241,Tilleul,Alignement,20.0,5.0,cordata,48.8766635963,2.3948131331,0,1,0,0
242,Poirier à fleurs,Alignement,25.0,5.0,calleryana,48.8816218577,2.37220307159,0,1,0,0
243,Platane,Alignement,70.0,10.0,orientalis,48.8796591361,2.3993628883399998,0,0,1,0
244,Platane,Alignement,25.0,3.0,x hispanica,48.897223643,2.39217671841,0,1,0,0
246,Charme,Alignement,70.0,15.0,betulus,48.88414301099999,2.3978097696000003,1,0,0,0
247,Sophora,Alignement,20.0,5.0,japonica,48.8948271719,2.39442354529,0,1,0,0
248,Platane,Alignement,120.0,20.0,orientalis,48.876165921,2.38086454741,1,0,0,0
249,Noisetier de Byzance,Alignement,60.0,5.0,colurna,48.8896112803,2.38578284513,0,1,0,0
250,Micocoulier,Alignement,25.0,5.0,australis,48.890648404699995,2.39517688516,0,1,0,0
251,Paulownia,Alignement,40.0,5.0,tomentosa,48.888692765,2.37937808345,0,1,0,0
252,Marronnier,DASCO,125.0,14.0,hippocastanum,48.8798696684,2.37376770425,1,0,0,0
253,Catalpa,DASCO,95.0,8.0,bignonioides,48.88563250319999,2.36740790987,0,0,1,0
256,Platane,Alignement,190.0,25.0,x hispanica,48.8988243463,2.3715476614,1,0,0,0
257,Aulne,Alignement,30.0,10.0,cordata,48.8980623469,2.38306872206,0,0,1,0
258,Peuplier,PERIPHERIQUE,175.0,15.0,x canadensis,48.8804333931,2.40487309702,1,0,0,0
259,Marronnier,DASCO,60.0,7.0,x carnea,48.8927614416,2.38227497964,0,1,0,0
265,Cerisier à fleurs,Alignement,35.0,5.0,serrulata,48.8986328993,2.37780492975,0,1,0,0
266,Platane,Alignement,95.0,10.0,x hispanica,48.8873466393,2.38730921247,1,0,0,0
267,Platane,Alignement,205.0,20.0,x hispanica,48.8989641772,2.37847124442,0,0,0,1
268,Robinier,Alignement,155.0,15.0,pseudoacacia,48.893610292299996,2.376503742399999,0,0,0,1
269,Marronnier,DASCO,130.0,11.0,hippocastanum,48.8880569347,2.36933853638,1,0,0,0
270,Tilleul,Alignement,80.0,10.0,tomentosa,48.8854686777,2.3699757815,0,0,1,0
272,Tilleul,Alignement,115.0,20.0,tomentosa,48.88750108509999,2.37246668621,1,0,0,0
273,Platane,Alignement,75.0,8.0,x hispanica,48.8797608582,2.400658296619999,0,0,1,0
274,Platane,Alignement,20.0,5.0,x hispanica,48.886218511,2.3937563464,0,1,0,0
276,Charme,DJS,45.0,5.0,betulus,48.8797671133,2.37757801124,0,1,0,0
277,Sophora,Alignement,30.0,6.0,japonica,48.8957666177,2.37355942655,0,1,0,0
278,Tilleul,Alignement,90.0,15.0,x europaea,48.888345433199994,2.37059732445,1,0,0,0
281,Platane,Alignement,35.0,5.0,x hispanica,48.8787618157,2.37687284797,0,1,0,0
282,Platane,Alignement,135.0,20.0,x hispanica,48.88895483099999,2.39802143357,1,0,0,0
283,Cerisier à fleurs,DJS,35.0,6.0,serrula,48.8935639299,2.397032949,0,1,0,0
284,Platane,Alignement,145.0,20.0,x hispanica,48.898641091900004,2.3735902291,1,0,0,0
286,Robinier,PERIPHERIQUE,76.0,10.0,pseudoacacia,48.8800746453,2.406222995239999,0,0,1,0
290,Tilleul,DFPE,120.0,15.0,platyphyllos,48.8937247047,2.3718713453899998,1,0,0,0
291,Platane,Alignement,225.0,30.0,x hispanica,48.8780242089,2.37129590935,0,0,0,1
292,Platane,Alignement,105.0,15.0,orientalis,48.8803485854,2.39467169961,1,0,0,0
294,Sophora,Alignement,165.0,15.0,japonica,48.8959597611,2.37561326994,0,0,0,1
295,Peuplier,Alignement,95.0,15.0,x canadensis,48.8850428854,2.37403477795,0,0,1,0
296,Paulownia,Alignement,45.0,5.0,tomentosa,48.8843250434,2.38024961154,0,1,0,0
297,Platane,Alignement,130.0,15.0,x hispanica,48.8877609962,2.38888125897,1,0,0,0
298,Fevier,Alignement,100.0,15.0,triacanthos f. Inermis,48.88628012859999,2.393329431129999,1,0,0,0
299,Marronnier,Alignement,100.0,10.0,x carnea,48.8760151931,2.39421327131,1,0,0,0
300,Mûrier,Alignement,170.0,15.0,alba,48.8802968318,2.40746611392,1,0,0,0
301,Bouleau,Alignement,30.0,4.0,pubescens,48.9007149067,2.38129547665,0,1,0,0
303,Chêne,Alignement,35.0,5.0,robur,48.8994479268,2.37813506889,0,1,0,0
306,Marronnier,Alignement,110.0,10.0,x carnea,48.8963207632,2.37739039127,1,0,0,0
307,Prunier à fleurs,Jardin,40.0,5.0,cerasifera,48.8997478109,2.38932026896,0,0,1,0
308,Peuplier,Alignement,50.0,10.0,alba,48.8844961476,2.39716084067,0,0,1,0
310,Sorbier,DJS,20.0,5.0,aucuparia,48.8855356971,2.376223078209999,0,1,0,0
311,Cerisier à fleurs,DJS,35.0,6.0,serrula,48.8949493217,2.39531433883,0,1,0,0
312,Marronnier,Alignement,100.0,10.0,x carnea,48.8781512275,2.3977027510499997,1,0,0,0
313,Poirier à fleurs,Alignement,25.0,5.0,calleryana,48.8818375709,2.37169737499,0,1,0,0
314,Platane,Alignement,60.0,10.0,x hispanica,48.880610697799995,2.39086021932,0,0,1,0
315,Sophora,Alignement,155.0,15.0,japonica,48.8960752054,2.37476500176,1,0,0,0
317,Tilleul,Jardin,120.0,20.0,x europaea,48.8899671529,2.37272887318,1,0,0,0
319,Sophora,Alignement,125.0,20.0,japonica,48.879222045199995,2.40068913609,1,0,0,0
322,Platane,Alignement,140.0,20.0,x hispanica,48.8821523096,2.392767419,1,0,0,0
328,Prunier à fleurs,Jardin,45.0,6.0,cerasifera,48.8885973766,2.38843246092,1,0,0,0
329,Tilleul,Alignement,70.0,10.0,x europaea,48.88407032359999,2.37024926975,0,0,1,0
332,Chêne,Alignement,45.0,5.0,ilex,48.8856979087,2.39515897284,0,0,1,0
333,Tilleul,Alignement,40.0,5.0,cordata,48.8772379209,2.39281035953,0,1,0,0
339,Peuplier,Alignement,105.0,15.0,x canadensis,48.8846380568,2.37322398343,1,0,0,0
340,Tulipier,Alignement,70.0,10.0,tulipifera,48.88512662669999,2.3744797066,0,0,1,0
341,Platane,Alignement,190.0,20.0,x hispanica,48.8987173013,2.3774037145199998,0,0,0,1
342,Sophora,Alignement,75.0,5.0,japonica,48.8948745357,2.39414555791,0,0,1,0
344,Platane,Alignement,150.0,20.0,x hispanica,48.884594462399996,2.377439446949999,1,0,0,0
346,Noisetier de Byzance,Alignement,85.0,10.0,colurna,48.8904059145,2.38608862086,0,0,1,0
347,Platane,Alignement,110.0,15.0,x hispanica,48.8880855486,2.3907634891000002,1,0,0,0
348,Peuplier,Alignement,85.0,15.0,alba,48.8845158178,2.39710228941,1,0,0,0
349,Charme,Alignement,40.0,5.0,betulus,48.8844024657,2.39708774247,0,1,0,0
350,Erable,DASCO,45.0,7.0,campestre,48.8836290282,2.39072952691,0,1,0,0
351,Poirier à fruits,DFPE,30.0,5.0,communis,48.89181157149999,2.38139869712,0,1,0,0
353,Sophora,Alignement,55.0,6.0,japonica,48.8956573992,2.37325417915,0,1,0,0
354,Merisier,Jardin,30.0,4.0,avium,48.8999798578,2.37688850822,0,1,0,0
355,Platane,Alignement,35.0,5.0,x hispanica,48.8980040668,2.370960848999999,0,1,0,0
356,Platane,Alignement,110.0,20.0,orientalis,48.8800974744,2.39814278259,0,0,1,0
357,Tilleul,Alignement,90.0,12.0,x europaea,48.8731019991,2.37805776359,1,0,0,0
359,Pin,Jardin,40.0,2.0,nigra subsp. laricio,48.8899589982,2.3972070789,0,1,0,0
360,Micocoulier,Alignement,65.0,10.0,australis,48.8795901267,2.40946179246,0,0,1,0
362,Platane,Alignement,35.0,5.0,x hispanica,48.8903453873,2.39766029976,0,1,0,0
363,Cerisier à fleurs,DJS,35.0,6.0,x subhirtella,48.8933323555,2.396882889199999,0,1,0,0
365,Sophora,Alignement,155.0,15.0,japonica,48.8906314032,2.372005234,0,0,0,1
366,Tilleul,Alignement,95.0,5.0,cordata,48.8870245389,2.37566241266,0,0,1,0
368,Sophora,Alignement,55.0,5.0,japonica,48.89356184339999,2.3944824527,0,1,0,0
369,Charme,Alignement,55.0,5.0,betulus,48.8793335395,2.38387204374,0,0,1,0
372,Platane,Alignement,80.0,15.0,x hispanica,48.90138805229999,2.38746493654,0,0,1,0
374,Pterocarya,Jardin,125.0,10.0,fraxinifolia,48.8826224985,2.39755846274,1,0,0,0
378,Platane,Alignement,65.0,15.0,x hispanica,48.8817720677,2.39448672361,0,0,1,0
381,Robinier,Alignement,35.0,6.0,pseudoacacia,48.8806139071,2.3745002024799993,0,1,0,0
388,Noisetier de Byzance,Alignement,60.0,10.0,colurna,48.8781993001,2.39647487657,0,0,1,0
389,Platane,Alignement,50.0,10.0,x hispanica,48.8796154878,2.386467130779999,0,0,1,0
390,Tilleul,Alignement,100.0,10.0,x europaea,48.873956936099994,2.377686122409999,1,0,0,0
391,Platane,Alignement,135.0,20.0,x hispanica,48.88628883429999,2.37681495929,1,0,0,0
393,Platane,Alignement,105.0,20.0,x hispanica,48.876499074,2.37826081864,1,0,0,0
395,Fevier,PERIPHERIQUE,65.0,6.0,triacanthos f. Inermis,48.9000113903,2.37149165905,0,1,0,0
396,Erable,Alignement,140.0,20.0,pseudoplatanus,48.90181104489999,2.38607061311,1,0,0,0
399,Marronnier,DASCO,115.0,9.0,hippocastanum,48.8879694371,2.36945250097,1,0,0,0
401,Marronnier,Alignement,130.0,15.0,hippocastanum,48.8761506637,2.39298734271,1,0,0,0
402,Sophora,Alignement,40.0,5.0,japonica,48.8738145961,2.3752840508,0,1,0,0
403,Peuplier,PERIPHERIQUE,160.0,15.0,x canadensis,48.8804506938,2.4048002631,1,0,0,0
404,Platane,Alignement,205.0,25.0,orientalis,48.8802638081,2.39514013538,0,0,0,1
409,Fevier,Alignement,80.0,10.0,triacanthos f. Inermis,48.885312522,2.39227835862,0,0,1,0
410,Merisier,Alignement,40.0,6.0,avium,48.8985516889,2.37370847473,0,1,0,0
411,Marronnier,Alignement,65.0,8.0,hippocastanum,48.877185570500004,2.37852583482,0,0,1,0
412,Peuplier,Alignement,35.0,6.0,nigra,48.8992870143,2.38150285376,0,1,0,0
413,Troene,Alignement,45.0,5.0,lucidum,48.8863420554,2.37372091791,0,1,0,0
414,Platane,Alignement,35.0,5.0,x hispanica,48.88197501319999,2.393556359389999,0,1,0,0
418,Platane,Alignement,25.0,5.0,x hispanica,48.8808898361,2.39126786361,0,1,0,0
420,Noisetier de Byzance,Alignement,65.0,10.0,colurna,48.8781721101,2.38610084334,0,0,1,0
421,Sophora,Alignement,30.0,4.0,japonica,48.8962807035,2.37578639551,0,1,0,0
422,Sophora,Alignement,150.0,15.0,japonica,48.8902126025,2.37180379093,0,0,0,1
423,Tilleul,PERIPHERIQUE,25.0,4.0,x europaea,48.900073471199995,2.37211085054,0,1,0,0
424,Marronnier,Alignement,155.0,15.0,hippocastanum,48.89502480469999,2.37238595771,1,0,0,0
425,Robinier,Alignement,100.0,20.0,pseudoacacia,48.8822544,2.37073317611,0,0,1,0
426,Pin,DFPE,80.0,10.0,nigra,48.8792128068,2.39942351734,0,0,1,0
429,Troene,Alignement,50.0,5.0,lucidum,48.8869913264,2.37502794306,0,1,0,0
430,Poirier à fleurs,Alignement,55.0,5.0,calleryana,48.8805258183,2.37109109251,0,1,0,0
431,Platane,Alignement,135.0,15.0,x hispanica,48.8838724392,2.37469226806,1,0,0,0
435,Micocoulier,Alignement,105.0,105.0,australis,48.8922358887,2.37877035259,1,0,0,0
438,Micocoulier,Alignement,65.0,10.0,australis,48.8795617451,2.40913760912,0,1,0,0
440,Robinier,Jardin,85.0,15.0,pseudoacacia,48.8879612063,2.39444710045,0,0,1,0
441,Charme,DJS,30.0,5.0,betulus,48.879654738599996,2.37787320884,0,1,0,0
442,Sophora,Alignement,50.0,5.0,japonica,48.87724105299999,2.37133372333,0,1,0,0
443,Chêne,Alignement,40.0,10.0,ilex,48.8847682435,2.39582198343,0,0,1,0
444,Platane,Alignement,205.0,20.0,x hispanica,48.8771405061,2.3810656623399993,0,0,0,1
445,Erable,DJS,150.0,10.0,japonicum,48.8905780482,2.39791202783,1,0,0,0
446,Platane,Alignement,140.0,20.0,x hispanica,48.9013631458,2.38660301032,1,0,0,0
450,Chêne,Jardin,30.0,4.0,petraea,48.89999275099999,2.376633901429999,0,1,0,0
454,Sophora,Alignement,75.0,5.0,japonica,48.89966716619999,2.37415989782,0,1,0,0
456,Platane,Alignement,25.0,5.0,x hispanica,48.8809215867,2.373645478999999,0,1,0,0
457,Platane,Alignement,70.0,10.0,x hispanica,48.879588679399994,2.38735759861,0,0,1,0
459,Erable,Jardin,130.0,18.0,pseudoplatanus,48.8768092855,2.38090107532,1,0,0,0
460,Platane,Alignement,200.0,20.0,x hispanica,48.8812574558,2.392053987799999,1,0,0,0
461,Noisetier de Byzance,Alignement,70.0,10.0,colurna,48.877869335,2.3956172388,0,0,1,0
462,Micocoulier,Alignement,90.0,10.0,australis,48.8740036349,2.37554577538,1,0,0,0
463,Peuplier,Alignement,65.0,5.0,x canadensis,48.887218399,2.37579040625,0,1,0,0
464,Micocoulier,Alignement,25.0,3.0,australis,48.8941170059,2.39784361955,0,1,0,0
465,Sophora,Alignement,35.0,5.0,japonica,48.8953141246,2.372313959189999,0,1,0,0
466,Platane,Alignement,85.0,15.0,orientalis,48.8745213744,2.38331962605,0,0,1,0
469,Sophora,Alignement,25.0,5.0,japonica,48.8842300538,2.399246743519999,0,1,0,0
470,Micocoulier,PERIPHERIQUE,60.0,5.0,occidentalis,48.90006064739999,2.384643451499999,0,1,0,0
471,Erable,Alignement,20.0,5.0,platanoides,48.9018620306,2.38580297332,0,1,0,0
472,Palmier,Alignement,70.0,5.0,fortunei,48.8958178256,2.37562951193,0,0,1,0
473,Chêne,Alignement,60.0,5.0,ilex,48.8855047709,2.3812288101,0,1,0,0
474,Prunier à fleurs,DFPE,60.0,4.0,cerasifera,48.8760676084,2.39512430873,0,0,1,0
475,Platane,PERIPHERIQUE,132.0,15.0,x hispanica,48.9001255351,2.37343360029,1,0,0,0
476,Platane,Alignement,75.0,10.0,x hispanica,48.87882343329999,2.38226356167,0,0,1,0
478,Platane,Alignement,80.0,15.0,x hispanica,48.880176587,2.39150295771,1,0,0,0
480,Sophora,Alignement,110.0,15.0,japonica,48.899671132,2.37140887666,1,0,0,0
481,Platane,Alignement,40.0,10.0,x hispanica,48.8763334533,2.37892616575,0,1,0,0
485,Sophora,Alignement,170.0,15.0,japonica,48.8948988777,2.374325430519999,0,0,0,1
486,Platane,Alignement,30.0,5.0,x hispanica,48.88556117459999,2.38049102708,0,1,0,0
