,libellefrancais,domanialite,circonferenceencm,hauteurenm,espece,latitude,longitude,stadedeveloppement_A,stadedeveloppement_J,stadedeveloppement_JA,stadedeveloppement_M
11599,Sophora,Alignement,80.0,10.0,japonica,48.8901511717,2.3757696765,1,0,0,0
11602,Sophora,Alignement,70.0,10.0,japonica,48.8765592026,2.404193375769999,0,0,1,0
11604,Peuplier,Alignement,180.0,20.0,x canadensis,48.8878028905,2.37710169049,0,0,0,1
11605,Cerisier à fleurs,DJS,35.0,6.0,serrula,48.8931429719,2.39679790367,0,1,0,0
11607,Erable,DJS,110.0,10.0,pseudoplatanus,48.875877626999994,2.37709503101,1,0,0,0
11608,Platane,Alignement,95.0,10.0,x hispanica,48.8788745339,2.3823752406,0,0,1,0
11610,Chicot du Canada,Alignement,100.0,20.0,dioica,48.8832054236,2.38284306169,1,0,0,0
11611,Platane,Alignement,55.0,7.0,x hispanica,48.8849153858,2.39235209034,0,1,0,0
11612,Micocoulier,Alignement,105.0,10.0,australis,48.893017936,2.37991366432,1,0,0,0
11613,Peuplier,Alignement,165.0,25.0,x canadensis,48.886577668,2.37698905796,1,0,0,0
11614,Platane,Alignement,140.0,20.0,x hispanica,48.88273703389999,2.37583407232,1,0,0,0
11615,Peuplier,Alignement,75.0,10.0,nigra,48.8831930035,2.36964446171,0,0,1,0
11616,Merisier,Alignement,40.0,5.0,avium,48.8985298094,2.37256950343,0,1,0,0
11617,Platane,Alignement,250.0,25.0,x hispanica,48.881790226,2.39385952259,0,0,0,1
11618,Platane,DASCO,210.0,16.0,x hispanica,48.8930865587,2.37504128953,1,0,0,0
11619,Marronnier,DASCO,100.0,11.0,hippocastanum,48.8880137101,2.36930721631,1,0,0,0
11620,Tilleul,Alignement,70.0,10.0,x europaea,48.8853180953,2.37418412002,0,0,1,0
11621,Tilleul,Alignement,85.0,10.0,x europaea,48.8883924898,2.37062888586,1,0,0,0
11622,Platane,Alignement,155.0,25.0,x hispanica,48.8913435797,2.37608853898,1,0,0,0
11627,Platane,Alignement,70.0,15.0,x hispanica,48.8810001974,2.39143331027,1,0,0,0
11628,Platane,Alignement,170.0,20.0,x hispanica,48.8988563635,2.373090571,1,0,0,0
11629,Tilleul,Alignement,60.0,10.0,x europaea,48.8839352552,2.36940035738,0,0,1,0
11631,Platane,Alignement,50.0,10.0,x hispanica,48.87840781079999,2.37372561533,0,1,0,0
11632,Platane,Alignement,135.0,17.0,x hispanica,48.87846110979999,2.41036844739,1,0,0,0
11633,Marronnier,DASCO,150.0,14.0,hippocastanum,48.8836728207,2.39068796915,1,0,0,0
11634,Marronnier,Alignement,130.0,20.0,x carnea,48.8757969834,2.39478482227,1,0,0,0
11637,Paulownia,Alignement,95.0,10.0,tomentosa,48.8830536739,2.381400705319999,0,0,1,0
11638,Platane,Alignement,155.0,20.0,x hispanica,48.8870483495,2.39435645987,1,0,0,0
11639,Marronnier,Alignement,120.0,15.0,hippocastanum,48.8780595139,2.39141134648,1,0,0,0
11640,Platane,Alignement,100.0,20.0,x hispanica,48.8798530154,2.38975159677,1,0,0,0
11642,Platane,Alignement,65.0,12.0,x hispanica,48.8842300735,2.36781965546,0,0,1,0
11647,Marronnier,Alignement,125.0,15.0,hippocastanum,48.89421184289999,2.37315765307,1,0,0,0
11648,Platane,Alignement,130.0,20.0,x hispanica,48.8862490985,2.3767365173,1,0,0,0
11649,Platane,Alignement,205.0,25.0,x hispanica,48.8835275478,2.39679657798,0,0,0,1
11652,Palmier,Alignement,55.0,5.0,fortunei,48.8943658579,2.37395318547,0,0,1,0
11653,Platane,Alignement,25.0,5.0,x hispanica,48.8958949019,2.38338207784,0,1,0,0
11654,Platane,Alignement,65.0,15.0,x hispanica,48.8788502629,2.37768160558,0,1,0,0
11655,Ailante,DJS,120.0,10.0,altissima,48.8808242613,2.37203174182,1,0,0,0
11657,Sophora,Alignement,95.0,10.0,japonica,48.8894164611,2.3752832799,1,0,0,0
